date,symbol,forecast,ci_lower,ci_upper
2025-12-11,BITCOIN,92580.82470782475,88416.40214988058,96745.24726576892
2025-12-12,BITCOIN,92463.49960784473,86698.43686809781,98228.56234759165
2025-12-13,BITCOIN,92366.82656539771,85439.8418964773,99293.81123431813
2025-12-14,BITCOIN,92287.17031846032,84424.73157840477,100149.60905851588
2025-12-15,BITCOIN,92221.53549911937,83565.73355898027,100877.33743925848
2025-12-16,BITCOIN,92167.45399671937,82816.4464707539,101518.46152268484
2025-12-17,BITCOIN,92122.89214782255,82148.59627328144,102097.18802236367
2025-12-18,BITCOIN,92086.17426298246,81543.46302991397,102628.88549605095
2025-12-19,BITCOIN,92055.91961465644,80987.94939941374,103123.88982989913
2025-12-20,BITCOIN,92030.99051677082,80472.52658028362,103589.45445325802
2025-12-21,BITCOIN,92010.44954353942,79990.05755074735,104030.84153633149
2025-12-22,BITCOIN,91993.52427880545,79535.0751496838,104451.97340792709
2025-12-23,BITCOIN,91979.57827035258,79103.315296758,104855.84124394716
2025-12-24,BITCOIN,91968.08709696036,78691.40244910373,105244.77174481699
2025-12-25,BITCOIN,91958.6186482371,78296.63051622879,105620.6067802454
2025-12-26,BITCOIN,91950.81687567958,77916.8061099945,105984.82764136465
2025-12-27,BITCOIN,91944.38840393958,77550.13389176868,106338.64291611048
2025-12-28,BITCOIN,91939.09149883149,77195.13116033,106683.05183733298
2025-12-29,BITCOIN,91934.72697723775,76850.56323770343,107018.89071677206
2025-12-30,BITCOIN,91931.13071709081,76515.39394824674,107346.86748593488
2025-12-31,BITCOIN,91928.16748577975,76188.7472403789,107667.5877311806
2026-01-01,BITCOIN,91925.72585490653,75869.87715604989,107981.57455376317
2026-01-02,BITCOIN,91923.71401016839,75558.14413362459,108289.28388671219
2026-01-03,BITCOIN,91922.05629880227,75252.99616874834,108591.1164288562
2026-01-04,BITCOIN,91920.69038476267,74953.953737112,108887.42703241334
2026-01-05,BITCOIN,91919.56490465695,74660.59765472807,109178.53215458582
2026-01-06,BITCOIN,91918.63753629287,74372.5592489244,109464.71582366133
2026-01-07,BITCOIN,91917.87340720846,74089.51235893878,109746.23445547814
2026-01-08,BITCOIN,91917.2437833392,73811.16679370574,110023.32077297267
2026-01-09,BITCOIN,91916.72498851141,73537.26295642233,110296.1870206005
